datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-08-18,-0.56106865,-0.7258719,-0.7838292,-0.64502484,-0.37843564,-0.14611441,0.103681944,0.12111554,0.13848472,0.17250733,0.17591894,0.08467283,0.05526185,-0.045099556,-0.050988365,0.055882595,0.2396609,0.42547268,0.33637816,0.22102492,0.23820466,0.068374105,-0.16638099,-0.33955243
2015-08-19,-0.52766156,-0.6703347,-0.7246536,-0.5984253,-0.33714882,-0.012704218,0.26596174,0.34131283,0.3176217,0.29212743,0.2801023,0.1664222,0.13286702,0.030049922,-0.0028011627,0.07485251,0.24581441,0.39556816,0.29931688,0.12235022,0.14539704,-0.017270025,-0.25366655,-0.40944958
2015-08-20,-0.5147127,-0.67093587,-0.7413678,-0.65404904,-0.452637,-0.21487324,0.009812957,0.13092712,0.16173257,0.18033378,0.16754445,0.06265656,0.015409881,-0.10288597,-0.14530028,-0.060199846,0.13482162,0.35151514,0.30967984,0.11774732,0.120865084,0.00027532876,-0.24062523,-0.38586342
2015-08-21,-0.45639983,-0.6274047,-0.65003204,-0.55457056,-0.37243557,-0.2229306,-0.05391174,-0.045841448,-0.032922495,0.013556644,-0.02745046,-0.10073354,-0.1301068,-0.23348093,-0.22988819,-0.18194336,-0.02749,0.11670901,0.13533898,0.033264354,0.08083842,-0.030485047,-0.10569116,-0.2676182
2015-08-22,-0.3743475,-0.5142897,-0.58946085,-0.55957174,-0.42146894,-0.23554082,-0.08188245,-0.010914928,-0.057728007,-0.069062926,-0.07044519,-0.15986603,-0.21284457,-0.33859366,-0.32223678,-0.13894379,0.04462954,0.23839441,0.22129661,0.077631965,0.038912635,-0.03730416,-0.28810734,-0.46936336
2015-08-23,-0.4132541,-0.61049676,-0.6684716,-0.6670325,-0.58117914,-0.5106958,-0.45798522,-0.3795886,-0.33732077,-0.30012023,-0.30264962,-0.38799644,-0.44297236,-0.5455302,-0.529343,-0.41157496,-0.19647498,-0.024975652,0.09495752,0.06248348,0.058588665,-0.04602015,-0.1612934,-0.3177098
2015-08-24,-0.6658796,-0.7723678,-0.7977492,-0.62404394,-0.25090227,0.113942705,0.35313877,0.40266272,0.37973836,0.40861318,0.3109221,0.22151896,0.21474044,0.08097013,0.05502811,0.095583156,0.19723108,0.23994817,0.092616774,-0.097474754,-0.063893616,-0.18290125,-0.4141845,-0.529364
2015-08-25,-0.67274195,-0.79241645,-0.84121245,-0.71627086,-0.37070036,-0.01322658,0.19651045,0.3152679,0.35355744,0.40691423,0.29862317,0.19711165,0.12745692,-0.009874589,-0.08733584,-0.024769766,0.20213372,0.36078718,0.3112317,0.11997221,0.054804098,-0.10344465,-0.3104241,-0.42878836
2015-08-26,-0.5672194,-0.7029051,-0.7583008,-0.6026928,-0.30406842,0.007008695,0.22909176,0.21575636,0.11607082,0.15539429,0.077794746,-0.0058296556,-0.05286281,-0.15773465,-0.14634901,0.04778725,0.23947582,0.409421,0.30040193,0.15268604,0.05130157,-0.08498003,-0.33620885,-0.5093156
2015-08-27,-0.57080483,-0.710683,-0.7423377,-0.60021716,-0.33694896,-0.07626314,0.09790167,0.20748228,0.23615497,0.2839438,0.24516192,0.15174125,0.1427826,0.039343674,0.027929474,0.07880192,0.20034365,0.3391459,0.30473214,0.1398129,0.18014994,-0.0060330196,-0.18117757,-0.31917396
